Origin Airport,Origin City,Origin State,Destination Airport,Destination City,Destination State,Total Time (Minutes),Hours,Minutes,Distance (Miles)
PGD,"Punta Gorda, FL",FL,ABE,"Allentown/Bethlehem/Easton, PA",PA,149,2,29,1018
PHL,"Philadelphia, PA",PA,ATL,"Atlanta, GA",GA,120,2,0,666
PIA,"Peoria, IL",IL,AZA,"Phoenix, AZ",AZ,206,3,26,1312
PIB,"Hattiesburg/Laurel, MS",MS,IAH,"Houston, TX",TX,93,1,33,372
PIE,"St. Petersburg, FL",FL,ABE,"Allentown/Bethlehem/Easton, PA",PA,138,2,18,970
PIH,"Pocatello, ID",ID,SLC,"Salt Lake City, UT",UT,41,0,41,150
PIT,"Pittsburgh, PA",PA,ATL,"Atlanta, GA",GA,96,1,36,526
PLN,"Pellston, MI",MI,DTW,"Detroit, MI",MI,90,1,30,243
PNS,"Pensacola, FL",FL,ATL,"Atlanta, GA",GA,56,0,56,271
PQI,"Presque Isle/Houlton, ME",ME,BOS,"Boston, MA",MA,99,1,39,333
PRC,"Prescott, AZ",AZ,DEN,"Denver, CO",CO,121,2,1,557
PSC,"Pasco/Kennewick/Richland, WA",WA,AZA,"Phoenix, AZ",AZ,139,2,19,977
PSE,"Ponce, PR",PR,JFK,"New York, NY",NY,252,4,12,1617
PSM,"Portsmouth, NH",NH,PGD,"Punta Gorda, FL",FL,219,3,39,1279
PSP,"Palm Springs, CA",CA,ATL,"Atlanta, GA",GA,235,3,55,1840
PVD,"Providence, RI",RI,ATL,"Atlanta, GA",GA,165,2,45,903
PVU,"Provo, UT",UT,AZA,"Phoenix, AZ",AZ,87,1,27,477
PWM,"Portland, ME",ME,ATL,"Atlanta, GA",GA,186,3,6,1027
RAP,"Rapid City, SD",SD,AZA,"Phoenix, AZ",AZ,144,2,24,873
RDD,"Redding, CA",CA,LAX,"Los Angeles, CA",CA,105,1,45,501
RDM,"Bend/Redmond, OR",OR,DEN,"Denver, CO",CO,115,1,55,898
RDU,"Raleigh/Durham, NC",NC,ATL,"Atlanta, GA",GA,82,1,22,356
RFD,"Rockford, IL",IL,AZA,"Phoenix, AZ",AZ,226,3,46,1373
RHI,"Rhinelander, WI",WI,MSP,"Minneapolis, MN",MN,75,1,15,190
RIC,"Richmond, VA",VA,ATL,"Atlanta, GA",GA,99,1,39,481
RIW,"Riverton/Lander, WY",WY,DEN,"Denver, CO",CO,64,1,4,296
RKS,"Rock Springs, WY",WY,DEN,"Denver, CO",CO,70,1,10,260
RNO,"Reno, NV",NV,ATL,"Atlanta, GA",GA,230,3,50,1993
ROA,"Roanoke, VA",VA,ATL,"Atlanta, GA",GA,84,1,24,357
ROC,"Rochester, NY",NY,ATL,"Atlanta, GA",GA,128,2,8,749
ROW,"Roswell, NM",NM,DFW,"Dallas/Fort Worth, TX",TX,92,1,32,435
RST,"Rochester, MN",MN,MSP,"Minneapolis, MN",MN,48,0,48,76
RSW,"Fort Myers, FL",FL,ACY,"Atlantic City, NJ",NJ,131,2,11,982
SAF,"Santa Fe, NM",NM,DEN,"Denver, CO",CO,75,1,15,303
SAN,"San Diego, CA",CA,ABQ,"Albuquerque, NM",NM,101,1,41,628
SAT,"San Antonio, TX",TX,ATL,"Atlanta, GA",GA,116,1,56,874
SAV,"Savannah, GA",GA,ATL,"Atlanta, GA",GA,59,0,59,214
SBA,"Santa Barbara, CA",CA,ATL,"Atlanta, GA",GA,252,4,12,2023
SBN,"South Bend, IN",IN,ATL,"Atlanta, GA",GA,107,1,47,566
SBP,"San Luis Obispo, CA",CA,DEN,"Denver, CO",CO,158,2,38,931
SCK,"Stockton, CA",CA,LAS,"Las Vegas, NV",NV,79,1,19,359
SDF,"Louisville, KY",KY,ATL,"Atlanta, GA",GA,73,1,13,321
SEA,"Seattle, WA",WA,ABQ,"Albuquerque, NM",NM,150,2,30,1180
SFB,"Sanford, FL",FL,ABE,"Allentown/Bethlehem/Easton, PA",PA,136,2,16,882
SFO,"San Francisco, CA",CA,ABQ,"Albuquerque, NM",NM,133,2,13,896
SGF,"Springfield, MO",MO,AZA,"Phoenix, AZ",AZ,188,3,8,1066
SGU,"St. George, UT",UT,DEN,"Denver, CO",CO,96,1,36,517
SHR,"Sheridan, WY",WY,DEN,"Denver, CO",CO,76,1,16,359
SHV,"Shreveport, LA",LA,ATL,"Atlanta, GA",GA,90,1,30,551
SIT,"Sitka, AK",AK,JNU,"Juneau, AK",AK,37,0,37,95
SJC,"San Jose, CA",CA,ATL,"Atlanta, GA",GA,243,4,3,2116
SJT,"San Angelo, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,70,1,10,229
SJU,"San Juan, PR",PR,ATL,"Atlanta, GA",GA,228,3,48,1547
SLC,"Salt Lake City, UT",UT,ABQ,"Albuquerque, NM",NM,87,1,27,493
SLN,"Salina, KS",KS,DEN,"Denver, CO",CO,113,1,53,383
SMF,"Sacramento, CA",CA,ATL,"Atlanta, GA",GA,245,4,5,2092
SNA,"Santa Ana, CA",CA,ATL,"Atlanta, GA",GA,232,3,52,1919
SPI,"Springfield, IL",IL,PGD,"Punta Gorda, FL",FL,139,2,19,994
SPN,"Saipan, TT",TT,GUM,"Guam, TT",TT,44,0,44,129
SPS,"Wichita Falls, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,47,0,47,113
SRQ,"Sarasota/Bradenton, FL",FL,ATL,"Atlanta, GA",GA,87,1,27,444
STL,"St. Louis, MO",MO,ATL,"Atlanta, GA",GA,74,1,14,484
STS,"Santa Rosa, CA",CA,BUR,"Burbank, CA",CA,78,1,18,387
STT,"Charlotte Amalie, VI",VI,ATL,"Atlanta, GA",GA,234,3,54,1599
STX,"Christiansted, VI",VI,ATL,"Atlanta, GA",GA,239,3,59,1638
SUN,"Sun Valley/Hailey/Ketchum, ID",ID,DEN,"Denver, CO",CO,107,1,47,557
SUX,"Sioux City, IA",IA,DEN,"Denver, CO",CO,101,1,41,466
SWO,"Stillwater, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,61,1,1,225
SYR,"Syracuse, NY",NY,ATL,"Atlanta, GA",GA,140,2,20,794
TLH,"Tallahassee, FL",FL,ATL,"Atlanta, GA",GA,60,1,0,223
TOL,"Toledo, OH",OH,PGD,"Punta Gorda, FL",FL,,0,0,1016
TPA,"Tampa, FL",FL,ACY,"Atlantic City, NJ",NJ,128,2,8,913
TRI,"Bristol/Johnson City/Kingsport, TN",TN,DFW,"Dallas/Fort Worth, TX",TX,179,2,59,868
TTN,"Trenton, NJ",NJ,MCO,"Orlando, FL",FL,158,2,38,896
TUL,"Tulsa, OK",OK,ATL,"Atlanta, GA",GA,96,1,36,674
TUS,"Tucson, AZ",AZ,ATL,"Atlanta, GA",GA,183,3,3,1541
TVC,"Traverse City, MI",MI,CLT,"Charlotte, NC",NC,152,2,32,702
TWF,"Twin Falls, ID",ID,SLC,"Salt Lake City, UT",UT,78,1,18,175
TXK,"Texarkana, AR",AR,DFW,"Dallas/Fort Worth, TX",TX,69,1,9,181
TYR,"Tyler, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,48,0,48,102
TYS,"Knoxville, TN",TN,ATL,"Atlanta, GA",GA,44,0,44,152
USA,"Concord, NC",NC,FLL,"Fort Lauderdale, FL",FL,107,1,47,643
VCT,"Victoria, TX",TX,IAH,"Houston, TX",TX,52,0,52,123
VPS,"Valparaiso, FL",FL,ATL,"Atlanta, GA",GA,61,1,1,250
XNA,"Fayetteville, AR",AR,CLT,"Charlotte, NC",NC,107,1,47,754
XWA,"Williston, ND",ND,DEN,"Denver, CO",CO,136,2,16,582
YUM,"Yuma, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,144,2,24,1022
ADQ,"Kodiak, AK",AK,ANC,"Anchorage, AK",AK,65,1,5,253
BET,"Bethel, AK",AK,ANC,"Anchorage, AK",AK,65,1,5,399
BRW,"Barrow, AK",AK,ANC,"Anchorage, AK",AK,108,1,48,725
CDV,"Cordova, AK",AK,ANC,"Anchorage, AK",AK,50,0,50,160
CKB,"Clarksburg/Fairmont, WV",WV,SFB,"Sanford, FL",FL,111,1,51,727
GFK,"Grand Forks, ND",ND,AZA,"Phoenix, AZ",AZ,179,2,59,1260
HGR,"Hagerstown, MD",MD,PIE,"St. Petersburg, FL",FL,148,2,28,861
HTS,"Ashland, WV",WV,SFB,"Sanford, FL",FL,100,1,40,665
OME,"Nome, AK",AK,ANC,"Anchorage, AK",AK,104,1,44,539
OTZ,"Kotzebue, AK",AK,ANC,"Anchorage, AK",AK,98,1,38,548
PPG,"Pago Pago, TT",TT,HNL,"Honolulu, HI",HI,323,5,23,2599
PSG,"Petersburg, AK",AK,JNU,"Juneau, AK",AK,45,0,45,123
SCC,"Deadhorse, AK",AK,ANC,"Anchorage, AK",AK,100,1,40,626
SCE,"State College, PA",PA,ORD,"Chicago, IL",IL,117,1,57,528
SMX,"Santa Maria, CA",CA,LAS,"Las Vegas, NV",NV,70,1,10,310
STC,"St. Cloud, MN",MN,PGD,"Punta Gorda, FL",FL,206,3,26,1447
SWF,"Newburgh/Poughkeepsie, NY",NY,MYR,"Myrtle Beach, SC",SC,156,2,36,601
WRG,"Wrangell, AK",AK,KTN,"Ketchikan, AK",AK,42,0,42,82
YAK,"Yakutat, AK",AK,CDV,"Cordova, AK",AK,55,0,55,213
ABY,"Albany, GA",GA,ATL,"Atlanta, GA",GA,52,0,52,145
LSE,"La Crosse, WI",WI,ORD,"Chicago, IL",IL,88,1,28,215
