Name,Tm,G,R,H,2B,3B,HR,RBI,SO,SB,BA,OBP,OPS
Drake Baldwin,Atlanta,5,1,1,0,0,1,1,4,0,0.083,0.214,0.548
Addison Barger,Toronto,7,7,6,2,0,1,2,10,0,0.222,0.25,0.657
Joey Bart,Pittsburgh,3,3,3,0,0,0,1,4,0,0.273,0.385,0.657
Brett Baty,New York,5,1,6,3,0,0,1,2,0,0.333,0.4,0.9
Jake Bauers,Milwaukee,2,0,0,0,0,0,0,1,0,0,0.2,0.2
Jordan Beck,Colorado,6,2,8,2,0,0,0,6,0,0.32,0.37,0.77
Josh Bell,Washington,4,3,3,1,0,1,3,1,0,0.231,0.375,0.913
Cody Bellinger,New York,5,5,8,1,0,2,5,2,1,0.364,0.391,1.073
Andrew Benintendi,Chicago,5,3,4,0,0,2,3,2,0,0.211,0.238,0.764
Will Benson,Cincinnati,4,2,6,1,0,0,1,5,0,0.462,0.462,1
Jon Berti,Chicago,3,0,1,0,0,0,0,0,1,0.25,0.25,0.5
Mookie Betts,Los Angeles,5,1,3,1,0,0,2,3,0,0.143,0.143,0.333
Bo Bichette,Toronto,5,1,5,1,0,0,1,4,0,0.208,0.208,0.458
JJ Bleday,Athletics,3,1,0,0,0,0,0,4,0,0,0.125,0.125
Xander Bogaerts,San Diego,4,2,7,3,0,1,1,1,0,0.467,0.5,1.367
Alec Bohm,Philadelphia,6,1,4,1,0,0,1,8,0,0.182,0.25,0.477
Jonah Bride,Minnesota,2,0,1,0,0,0,0,1,0,0.333,0.333,0.667
Trenton Brooks,San Diego,3,1,0,0,0,0,0,1,0,0,0.2,0.2
Vidal Bruján,Chicago,2,1,0,0,0,0,0,1,0,0,0,0
Alec Burleson,St. Louis,6,2,4,2,0,1,4,4,0,0.16,0.16,0.52
Michael Busch,Chicago,6,6,9,0,0,2,6,2,1,0.474,0.524,1.313
Lawrence Butler,Athletics,7,3,4,0,1,0,2,8,3,0.167,0.31,0.56
Byron Buxton,Minnesota,6,7,6,1,0,2,4,6,2,0.25,0.308,0.849
José Caballero,Tampa Bay,4,1,3,0,0,0,2,5,1,0.2,0.25,0.45
Jac Caglianone,Kansas City,7,1,1,0,0,0,0,7,0,0.038,0.107,0.146
Alex Call,Washington,2,0,1,0,0,0,0,0,0,0.333,0.333,0.667
Junior Caminero,Tampa Bay,6,4,5,1,0,2,3,7,0,0.2,0.259,0.739
Gustavo Campero,Los Angeles,3,2,1,0,0,1,1,0,0,0.333,0.5,1.833
Alexander Canario,Pittsburgh,4,3,2,2,0,0,2,0,0,0.5,0.667,1.667
Mark Canha,Kansas City,3,0,0,0,0,0,0,1,0,0,0,0
Dominic Canzone,Seattle,7,2,5,0,0,1,1,3,0,0.238,0.238,0.619
Vinny Capra,Chicago,1,0,2,0,0,0,0,1,0,0.667,0.667,1.333
Victor Caratini,Houston,5,2,3,0,0,2,6,3,0,0.188,0.176,0.739
Dylan Carlson,Baltimore,3,0,0,0,0,0,0,2,0,0,0,0
Kerry Carpenter,Detroit,4,2,5,0,1,2,3,2,0,0.5,0.5,1.8
Evan Carter,Texas,4,2,6,1,0,0,0,2,2,0.375,0.474,0.911
Nick Castellanos,Philadelphia,6,2,5,1,0,2,4,9,0,0.238,0.304,0.876
Willi Castro,Minnesota,6,2,3,1,0,0,3,6,2,0.158,0.273,0.483
Jazz Chisholm Jr.,New York,6,6,5,1,0,4,8,6,0,0.217,0.308,1.09
Jackson Chourio,Milwaukee,4,3,3,0,0,1,4,4,0,0.188,0.278,0.653
Denzel Clarke,Athletics,6,0,2,0,0,0,1,6,0,0.118,0.25,0.368
Jonatan Clase,Toronto,6,2,2,0,0,0,0,3,0,0.167,0.286,0.452
Kody Clemens,Minnesota,4,2,2,0,0,1,1,4,0,0.182,0.308,0.762
Ernie Clement,Toronto,7,6,6,0,0,0,5,2,0,0.25,0.406,0.656
Isaac Collins,Milwaukee,4,2,1,0,0,0,0,3,0,0.1,0.25,0.35
Michael Conforto,Los Angeles,3,2,3,0,0,1,3,0,0,0.25,0.308,0.808
William Contreras,Milwaukee,3,3,3,1,0,0,0,1,0,0.273,0.429,0.792
Willson Contreras,St. Louis,7,3,5,1,0,1,1,5,1,0.25,0.423,0.873
Carlos Correa,Minnesota,6,2,4,0,0,1,4,4,0,0.19,0.19,0.524
Colton Cowser,Baltimore,6,5,7,3,0,1,4,5,0,0.304,0.385,0.95
J.P. Crawford,Seattle,7,3,8,0,0,0,1,8,0,0.242,0.242,0.485
Jake Cronenworth,San Diego,4,1,1,0,0,1,2,4,0,0.083,0.214,0.548
Pete Crow-Armstrong,Chicago,6,2,4,1,0,0,1,5,1,0.167,0.192,0.401
Oneil Cruz,Pittsburgh,5,5,4,0,0,2,4,6,1,0.235,0.35,0.938
Travis d'Arnaud,Los Angeles,2,1,3,1,0,1,2,2,0,0.375,0.444,1.319
Henry Davis,Pittsburgh,4,3,4,1,0,0,1,2,0,0.444,0.4,0.956
Elly De La Cruz,Cincinnati,6,4,7,0,0,0,2,3,1,0.333,0.417,0.75
Rafael Devers,San Francisco,7,2,5,2,0,1,2,15,0,0.185,0.313,0.683
Elias Díaz,San Diego,5,0,3,1,0,0,0,2,0,0.3,0.3,0.7
Yainer Diaz,Houston,5,1,5,0,0,1,4,2,0,0.263,0.263,0.684
Yandy Díaz,Tampa Bay,7,2,7,0,0,1,3,5,0,0.28,0.419,0.819
Dillon Dingler,Detroit,3,0,3,0,0,0,0,1,0,0.273,0.273,0.545
Jasson Domínguez,New York,5,3,8,2,0,0,3,7,2,0.381,0.381,0.857
Brendan Donovan,St. Louis,7,2,3,0,0,1,2,6,0,0.12,0.258,0.498
Brenton Doyle,Colorado,5,3,4,1,0,1,3,4,0,0.19,0.19,0.571
Mauricio Dubón,Houston,6,1,3,0,0,0,0,1,0,0.2,0.2,0.4
Ezequiel Duran,Texas,3,0,1,1,0,0,0,2,2,0.167,0.286,0.619
Jarren Duran,Boston,6,7,4,1,1,1,1,7,0,0.2,0.36,0.86
Caleb Durbin,Milwaukee,4,3,7,1,0,0,0,1,0,0.412,0.412,0.882
Nate Eaton,Boston,4,0,0,0,0,0,0,3,0,0,0,0
Tommy Edman,Los Angeles,6,2,3,3,0,0,0,4,0,0.167,0.25,0.583
Xavier Edwards,Miami,5,2,4,1,0,0,2,5,0,0.174,0.24,0.457
Christian Encarnacion-Strand,Cincinnati,5,1,2,0,0,0,0,4,0,0.154,0.214,0.368
J.C. Escarra,New York,3,0,0,0,0,0,0,2,0,0,0.125,0.125
Santiago Espinal,Cincinnati,4,2,2,1,0,0,0,3,0,0.182,0.25,0.523
Thairo Estrada,Colorado,6,0,6,0,0,0,4,5,1,0.25,0.296,0.546
Stuart Fairchild,Atlanta,3,0,3,3,0,0,0,3,0,0.3,0.3,0.9
Kyle Farmer,Colorado,4,1,3,0,0,0,1,3,0,0.214,0.214,0.429
Freddy Fermin,Kansas City,4,0,3,0,0,0,0,2,0,0.375,0.444,0.819
José Fermín,St. Louis,4,1,4,1,0,0,0,0,1,0.667,0.714,1.548
Tyler Fitzgerald,San Francisco,2,0,2,2,0,0,2,3,0,0.333,0.333,1
Wilmer Flores,San Francisco,5,0,3,1,0,0,1,2,0,0.167,0.25,0.472
Nick Fortes,Miami,6,1,2,0,0,0,1,3,0,0.222,0.222,0.444
Justin Foscue,Texas,2,0,1,1,0,0,2,1,0,0.333,0.333,1
Ty France,Minnesota,6,0,4,1,0,0,0,5,0,0.222,0.3,0.578
Adam Frazier,Pittsburgh,4,2,3,1,0,0,1,3,1,0.3,0.429,0.829
Freddie Freeman,Los Angeles,5,3,4,0,0,1,2,5,0,0.211,0.318,0.687
Tyler Freeman,Colorado,5,1,3,1,0,0,1,3,0,0.2,0.368,0.635
Sal Frelick,Milwaukee,4,2,6,0,0,1,3,1,0,0.375,0.474,1.036
TJ Friedl,Cincinnati,6,1,3,0,0,0,1,5,0,0.158,0.304,0.462
David Fry,Cleveland,4,0,1,0,0,0,0,3,0,0.1,0.1,0.2
Braxton Fulford,Colorado,5,0,4,2,0,0,3,7,1,0.25,0.25,0.625
Adolis García,Texas,6,2,6,1,0,1,11,12,1,0.222,0.207,0.577
Luis García Jr.,Washington,4,1,3,0,0,0,3,2,0,0.188,0.188,0.375
Maikel Garcia,Kansas City,7,1,8,2,0,0,3,5,1,0.286,0.333,0.69
Mitch Garver,Seattle,3,1,4,1,0,1,4,5,0,0.364,0.417,1.144
Andrés Giménez,Toronto,7,3,7,1,0,1,7,5,1,0.333,0.417,0.94
Paul Goldschmidt,New York,4,2,3,1,0,0,0,0,0,0.214,0.353,0.639
Nick Gonzales,Pittsburgh,5,2,3,1,0,0,1,1,0,0.167,0.286,0.508
Romy Gonzalez,Boston,3,2,5,2,0,1,3,2,0,0.385,0.385,1.154
Hunter Goodman,Colorado,2,3,3,0,0,2,2,0,0,0.429,0.5,1.786
Nolan Gorman,St. Louis,7,3,5,0,0,1,4,7,1,0.192,0.222,0.53
Riley Greene,Detroit,5,3,5,0,0,2,2,4,0,0.25,0.286,0.836
