Name,Tm,G,R,H,2B,3B,HR,RBI,SO,SB,BA,OBP,OPS
Otto Lopez,Miami,6,8,9,2,0,2,12,3,1,0.375,0.483,1.191
Brandon Lowe,Tampa Bay,7,7,9,0,0,4,8,7,0,0.391,0.462,1.375
Josh Lowe,Tampa Bay,7,4,11,2,0,1,2,3,1,0.423,0.423,1.038
Nathaniel Lowe,Washington,4,3,5,2,0,0,2,5,0,0.294,0.368,0.78
Nathan Lukes,Toronto,7,3,4,0,0,0,4,1,0,0.222,0.391,0.614
Gavin Lux,Cincinnati,4,2,3,1,0,0,2,3,0,0.273,0.333,0.697
Manny Machado,San Diego,5,0,3,0,0,0,0,2,0,0.15,0.19,0.34
Willie MacIver,Athletics,3,1,2,1,0,1,1,2,0,0.25,0.4,1.15
Martín Maldonado,San Diego,3,0,0,0,0,0,0,3,0,0,0,0
Jake Mangum,Tampa Bay,6,3,8,0,1,0,2,3,1,0.348,0.348,0.783
Kyle Manzardo,Cleveland,6,1,4,0,0,1,1,6,0,0.235,0.278,0.69
Rafael Marchán,Philadelphia,2,0,2,0,0,0,0,1,0,0.5,0.5,1
Brandon Marsh,Philadelphia,6,3,5,1,0,0,2,6,2,0.263,0.25,0.566
Ketel Marte,Arizona,6,2,2,0,0,2,5,9,0,0.091,0.192,0.556
Starling Marte,New York,2,0,2,0,0,0,1,2,0,0.333,0.375,0.708
Angel Martínez,Cleveland,6,1,2,0,0,0,1,3,0,0.167,0.214,0.381
Miles Mastrobuoni,Seattle,6,0,2,0,0,0,2,2,0,0.167,0.231,0.397
Luis Matos,San Francisco,1,0,1,1,0,0,0,0,0,1,1,3
Ronny Mauricio,New York,4,2,5,0,0,1,1,3,0,0.385,0.467,1.082
Marcelo Mayer,Boston,3,1,2,1,0,0,0,3,0,0.222,0.222,0.556
Coby Mayo,Baltimore,5,3,5,1,0,1,5,3,0,0.357,0.357,1
James McCann,Arizona,3,4,4,1,0,1,2,0,0,0.5,0.667,1.667
Jake McCarthy,Arizona,6,4,6,0,1,2,5,5,1,0.286,0.318,0.985
Andrew McCutchen,Pittsburgh,5,3,7,1,0,0,3,5,0,0.412,0.5,0.971
Reese McGuire,Chicago,2,2,2,0,0,1,2,2,0,0.222,0.222,0.778
Billy McKinney,Texas,1,0,1,0,0,0,0,0,0,0.25,0.25,0.5
